user_id,anime_id,rating
ppGunga,40028,-1
ppGunga,6702,-1
ppGunga,918,-1
ppGunga,40748,-1
ppGunga,39547,-1
ppGunga,41487,-1
ppGunga,885,10
ppGunga,16498,8
ppGunga,25777,8
ppGunga,35760,8
ppGunga,38524,9
ppGunga,5081,8
ppGunga,32086,6
ppGunga,9919,6
ppGunga,33506,6
ppGunga,35507,7
ppGunga,1535,9
ppGunga,38000,7
ppGunga,40456,8
ppGunga,790,10
ppGunga,22297,7
ppGunga,227,9
ppGunga,7472,8
ppGunga,20583,8
ppGunga,28891,8
ppGunga,32935,8
ppGunga,11617,3
ppGunga,24703,3
ppGunga,34281,3
ppGunga,15451,3
ppGunga,431,9
ppGunga,136,-1
ppGunga,11061,10
ppGunga,37999,8
ppGunga,40591,10
ppGunga,34933,4
ppGunga,9260,8
ppGunga,31757,9
ppGunga,31758,10
ppGunga,31741,7
ppGunga,32182,7
ppGunga,37510,8
ppGunga,19,10
ppGunga,31964,7
ppGunga,33486,8
ppGunga,36456,8
ppGunga,38408,8
ppGunga,523,7
ppGunga,14813,8
ppGunga,23847,9
ppGunga,20,7
ppGunga,1735,7
ppGunga,15689,8
ppGunga,11597,8
ppGunga,7592,-1
ppGunga,10049,-1
ppGunga,30276,8
ppGunga,34134,7
ppGunga,22535,8
ppGunga,2890,8
ppGunga,164,10
ppGunga,31240,10
ppGunga,36286,6
ppGunga,39587,10
ppGunga,42203,10
ppGunga,339,9
ppGunga,199,9
ppGunga,9253,9
ppGunga,11757,7
ppGunga,21881,5
ppGunga,37430,8
ppGunga,39551,8
ppGunga,20785,7
ppGunga,40496,6
ppGunga,37779,8
ppGunga,38101,7
ppGunga,39783,9
ppGunga,23755,6
ppGunga,39701,3
ppGunga,34577,6
ppGunga,31722,4
ppGunga,16664,4
ppGunga,16662,8
ppGunga,23273,8
ppGunga,32281,7
ppGunga,550,7
ppGunga,269,7
ppGunga,527,-1
ppGunga,481,-1
ppGunga,31580,5
ppGunga,2167,-1
ppGunga,4181,-1
ppGunga,42938,-1
ppGunga,44042,-1
ppGunga,42897,-1
ppGunga,2246,-1
ppGunga,572,-1
ppGunga,21,-1
ppGunga,41025,-1
ppGunga,2402,-1
ppGunga,37521,-1
ppGunga,1210,-1
